tipo_de_empresa,fundação_da_empresa,possui_mais_de_um_sócio,funcionários,meses_de_permanência,utiliza_serviços_financeiros,possuicontador,faz_conciliação_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_financeiro,frequência_de_utilização_de_feature_do_sistema_emissão_de_nota_fiscal,frequência_de_utilização_de_feature_do_sistema_integração_bancária,frequência_de_utilização_de_feature_do_sistema_módulo_de_vendas,frequência_de_utilização_de_feature_do_sistema_relatórios,frequência_de_utilização_de_feature_do_sistema_utilização_de_apis_de_integração,contrato,emite_boletos,tipo_de_pagamento,receita_mensal,receita_total,churn
Micro empresa,2016,Sim,até 5 funcionários,1,Não,,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,29.85,29.85,Não
Pequena empresa,2018,Não,até 5 funcionários,34,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,Boleto - mês a mês,56.95,1889.5,Não
Pequena empresa,2021,Não,até 5 funcionários,2,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,53.85,108.15,Sim
Pequena empresa,2016,Não,até 5 funcionários,45,Não,,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,Cartão de crédito - pagamento único,42.3,1840.75,Não
Micro empresa,2017,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - pagamento único,70.7,151.65,Sim
Micro empresa,2018,Não,até 5 funcionários,8,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,99.65,820.5,Sim
Pequena empresa,2019,Não,6 ou mais funcionários,22,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Cartão de crédito - mês a mês,89.1,1949.4,Não
Micro empresa,2019,Não,até 5 funcionários,10,Não,,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,Boleto - mês a mês,29.75,301.9,Não
Micro empresa,2016,Sim,até 5 funcionários,28,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Boleto - pagamento único,104.8,3046.05,Sim
Pequena empresa,2021,Não,6 ou mais funcionários,62,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,Cartão de crédito - pagamento único,56.15,3487.95,Não
Pequena empresa,2016,Sim,6 ou mais funcionários,13,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Boleto - mês a mês,49.95,587.45,Não
Pequena empresa,2016,Não,até 5 funcionários,16,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,Cartão de crédito - mês a mês,18.95,326.8,Não
