ID,Tipo de empresa,Fundação da empresa,Possui mais de um sócio,Funcionários,Meses de permanência ,Utiliza serviços financeiros,PossuiContador,Faz conciliação bancária,Frequência de utilização de feature do sistema: Módulo financeiro,Frequência de utilização de feature do sistema: Emissão de nota fiscal,Frequência de utilização de feature do sistema: Integração bancária,Frequência de utilização de feature do sistema: Módulo de vendas,Frequência de utilização de feature do sistema: Relatórios,Frequência de utilização de feature do sistema: Utilização de APIs de integração,Contrato,Emite boletos,Emite boletos,Tipo de pagamento,Receita mensal,Receita total,Churn
1,Micro empresa,2016,Sim,até 5 funcionários,1,Não,NaN,automática,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 29,85","R$ 29,85",Não
2,Pequena empresa,2018,Não,até 5 funcionários,34,Sim,Não ,automática,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,No,Boleto - mês a mês,"R$ 56,95","R$ 1.889,50",Não
3,Pequena empresa,2021,Não,até 5 funcionários,2,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 53,85","R$ 108,15",Sim
4,Pequena empresa,2016,Não,até 5 funcionários,45,Não,NaN,automática,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 42,30","R$ 1.840,75",Não
5,Micro empresa,2017,Não,até 5 funcionários,2,Sim,Não ,manual,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 70,70","R$ 151,65",Sim
6,Micro empresa,2018,Não,até 5 funcionários,8,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 99,65","R$ 820,50",Sim
7,Pequena empresa,2019,Não,6 ou mais funcionários,22,Sim,Sim,manual,Pouco uso,Uso frequente,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Mês-a-mês,1,Yes,Cartão de crédito - mês a mês,"R$ 89,10","R$ 1.949,40",Não
8,Micro empresa,2019,Não,até 5 funcionários,10,Não,NaN,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,0,No,Boleto - mês a mês,"R$ 29,75","R$ 301,90",Não
9,Micro empresa,2016,Sim,até 5 funcionários,28,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 104,80","R$ 3.046,05",Sim
10,Pequena empresa,2021,Não,6 ou mais funcionários,62,Sim,Não ,automática,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Trimestral,0,No,Cartão de crédito - pagamento único,"R$ 56,15","R$ 3.487,95",Não
11,Pequena empresa,2016,Sim,6 ou mais funcionários,13,Sim,Não ,automática,Uso frequente,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Pouco uso,Mês-a-mês,1,Yes,Boleto - mês a mês,"R$ 49,95","R$ 587,45",Não
12,Pequena empresa,2016,Não,até 5 funcionários,16,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Anual,0,No,Cartão de crédito - mês a mês,"R$ 18,95","R$ 326,80",Não
13,Pequena empresa,2019,Sim,até 5 funcionários,58,Sim,Sim,manual,Pouco uso,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Trimestral,0,No,Cartão de crédito - mês a mês,"R$ 100,35","R$ 5.681,10",Não
14,Pequena empresa,2021,Não,até 5 funcionários,49,Sim,Sim,manual,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Cartão de crédito - pagamento único,"R$ 103,70","R$ 5.036,30",Sim
15,Pequena empresa,2017,Não,até 5 funcionários,25,Sim,Não ,manual,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Mês-a-mês,1,Yes,Boleto - pagamento único,"R$ 105,50","R$ 2.686,05",Não
16,Micro empresa,2019,Sim,6 ou mais funcionários,69,Sim,Sim,manual,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - mês a mês,"R$ 113,25","R$ 7.895,15",Não
17,Micro empresa,2017,Não,até 5 funcionários,52,Sim,Não ,não faz,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Nunca utilizou,Trimestral,0,No,Boleto - mês a mês,"R$ 20,65","R$ 1.022,95",Não
18,Pequena empresa,2017,Não,6 ou mais funcionários,71,Sim,Sim,manual,Uso frequente,Pouco uso,Uso frequente,Pouco uso,Uso frequente,Uso frequente,Anual,0,No,Cartão de crédito - pagamento único,"R$ 106,70","R$ 7.382,25",Não
19,Micro empresa,2017,Sim,6 ou mais funcionários,10,Sim,Não ,automática,Pouco uso,Pouco uso,Uso frequente,Uso frequente,Pouco uso,Pouco uso,Mês-a-mês,0,No,Cartão de crédito - mês a mês,"R$ 55,20","R$ 528,35",Sim
